text,label
Call FREEPHONE 0800 542 0578 now!,1
Ok... C ya...,0
How long does it take to get it.,0
ফ্রি মেম্বারশিপ সহ পার্ট-টাইম কাজ!,1
First answer my question.,0
Ü go home liao? Ask dad to pick me up at 6...,0
K and you're sure I don't have to have consent forms to do it :V,0
"Not sure yet, still trying to get a hold of him",0
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1
আপনার ইচ্ছেমতো সময় দিয়ে ঘরে বসে কাজ!,1
That is wondar full flim.,0
"নানু, আর আসমার মা উনি করতেসে যে...|",0
আফমির দোকানদারেরা অনেক ভালো,0
"আসসালামু আলাইকুম।

চট্রগ্রামে আননিসা গ্যালারির ২য় শোরুম উদ্বোধন উপলক্ষে আকর্ষণীয় ছাড় এবং উপহার পেতে চলে আসুন আমাদের আউটলেট এ।

গ্র্যান্ড ওপেনিং: ১৭/১২/২০২২। সকালঃ ১১টা। সপ: A2 , লেভেল: 3, বালি আর্কেড, চকবাজার, চট্রগ্রাম।
Helpline: 01630536530
www.annisagallerybd.com|",1
I know complain num only..bettr directly go to bsnl offc nd apply for it..,0
You'll never believe this but i have actually got off at taunton. Wow,0
মনা খারাপ!! পছন্দের গান খুজে পেতে ডায়াল করুন,1
Ü dun need to pick ur gf?,0
"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",0
Also maaaan are you missing out,0
সেরা অফার রবিতে! আজ ২০জিবি+৬০০মি ২৮দিন ৳৫৯৯ ঘ্যাচাংরিচার্জে,1
প্লেস ঠিক করছস?|,0
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,0
Mm yes dear look how i am hugging you both. :-P,0
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",1
The battery is for mr adewale my uncle. Aka Egbon,0
"পবিত্র ঈদকে সামনে রেখে আপনার প্রিমিয়াম লাইফস্টাইল ব্র্যান্ড স্ট্রাইপে চলছে স্ট্রাইপ ঈদ ফেস্ট, পাচ্ছেন ২০% পর্যন্ত ছাড়! আজই শপিং করুন www.stripe.clothing থেকে।|",1
Ok i am on the way to railway,0
Ok... Thanx... Gd nite 2 ü too...,0
Now am free call me pa.,0
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1
"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",0
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",0
HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,0
Hey gals...U all wanna meet 4 dinner at nìte? ,0
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,0
